value,count
Ars-en-Ré,64
Arzon,7
Bayonne,4
Beauvoir-sur-Mer,41
Bordeaux,71
Britanny coast,235
Caen ,5
Champagné-les-Marais,52
Cherbourg,5
Esnandes,80
La Flotte-en-Ré,113
La Perrotine,212
La Rochelle,1192
La Tranche-sur-Mer,8
Le Château-d'Oléron,27
Le Croisic,8
Le Plomb,54
Les Sables-d'Olonne,150
Libourne,5
Locmariaquer,15
Marans,1477
Marennes,735
Moricq,15
Morlaix,6
Nantes,25
Noirmoutier,43
Pertuis sea,3
Redon,9
Ribérou,532
Rochefort,151
Royan,9
Saint-Denis d'Oléron,221
Saint-Gilles-sur-Vie,17
Saint-Martin-de-Ré,800
Soubise,34
Tonnay-Charente,803
île d'Oléron,51
île de Bouin,70
île de Ré,135
